code;name;sector;date;open;close;port_shares;total_shares;benchmark
000001.SZ;PingAnYinHang;Banking;2014-01-02;12.25;12.12;10000;68193279931;
000001.SZ;PingAnYinHang;Banking;2014-01-03;12.23;12.15;10000;66520509369;
000001.SZ;PingAnYinHang;Banking;2014-01-06;11.93;11.89;10000;65070774881;
000001.SZ;PingAnYinHang;Banking;2014-01-07;11.67;11.53;10000;64847738806;
000001.SZ;PingAnYinHang;Banking;2014-01-08;11.63;11.64;10000;65572606050;
000001.SZ;PingAnYinHang;Banking;2014-01-09;11.76;11.69;10000;65907160163;
000001.SZ;PingAnYinHang;Banking;2014-01-10;11.82;11.78;10000;65907160163;
000001.SZ;PingAnYinHang;Banking;2014-01-13;11.82;11.8;10000;64680461750;
000001.SZ;PingAnYinHang;Banking;2014-01-14;11.6;11.57;10000;65349569975;
000001.SZ;PingAnYinHang;Banking;2014-01-15;11.72;11.7;10000;65070774881;
000001.SZ;PingAnYinHang;Banking;2014-01-16;11.67;11.66;10000;65182292919;
000001.SZ;PingAnYinHang;Banking;2014-01-17;11.69;11.62;10000;64011353525;
000001.SZ;PingAnYinHang;Banking;2014-01-20;11.48;11.48;10000;63007691188;
000001.SZ;PingAnYinHang;Banking;2014-01-21;11.3;11.32;10000;63342245300;
000001.SZ;PingAnYinHang;Banking;2014-01-22;11.36;11.36;10000;65739883106;
000001.SZ;PingAnYinHang;Banking;2014-01-23;11.79;11.77;10000;65238051938;
000001.SZ;PingAnYinHang;Banking;2014-01-24;11.7;11.64;10000;65015015863;
000001.SZ;PingAnYinHang;Banking;2014-01-27;11.66;11.56;10000;63509522356;
000001.SZ;PingAnYinHang;Banking;2014-01-28;11.39;11.45;10000;64122871563;
000001.SZ;PingAnYinHang;Banking;2014-01-29;11.5;11.54;10000;64457425675;
000001.SZ;PingAnYinHang;Banking;2014-01-30;11.56;11.55;10000;63565281375;
600000.SH;PuFaYinHang;Banking;2014-01-02;9.43;9.44;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-03;9.33;9.28;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-06;9.14;9.31;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-07;9.19;9.17;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-08;9.14;9.14;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-09;9.2;9.2;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-10;9.29;9.28;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-13;9.41;9.44;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-14;9.39;9.4;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-15;9.4;9.39;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-16;9.23;9.22;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-17;9.18;9.17;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-20;9.12;9.1;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-21;9.07;9.1;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-22;9.16;9.18;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-23;9.34;9.31;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-24;9.22;9.17;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-27;9.23;9.19;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-28;9.12;9.12;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-29;9.19;9.24;10000;14922777132;
600000.SH;PuFaYinHang;Banking;2014-01-30;9.29;9.27;10000;14922777132;
601009.SH;NanJingYinHang;Banking;2014-01-02;8.09;8.05;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-03;8.04;8;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-06;7.96;7.97;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-07;7.85;7.8;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-08;7.87;7.88;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-09;7.91;7.88;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-10;7.85;7.83;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-13;7.85;7.87;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-14;7.96;7.96;10000;2968933194;
601009.SH;NanJingYinHang;Banking;2014-01-15;8.04;8.05;10000;2968933194;
