code;name;date;share;price
000523.SZ;GuangZhouLangQi;2014-01-09;1000;8.7
000523.SZ;GuangZhouLangQi;2014-01-10;500;8.74
000523.SZ;GuangZhouLangQi;2014-01-13;500;8.7
000523.SZ;GuangZhouLangQi;2014-01-14;500;8.6
000523.SZ;GuangZhouLangQi;2014-01-15;500;8.88
000523.SZ;GuangZhouLangQi;2014-01-20;500;8.5
000523.SZ;GuangZhouLangQi;2014-01-23;1000;9.01
000523.SZ;GuangZhouLangQi;2014-01-28;500;9.23
000523.SZ;GuangZhouLangQi;2014-01-29;500;9.28
000002.SZ;WanKeA;2014-01-03;1000;8
000002.SZ;WanKeA;2014-01-09;1000;7.48
000002.SZ;WanKeA;2014-01-17;1000;7.2
600061.SH;ZhongFangTouZi;2014-01-07;-1000;5.64
600061.SH;ZhongFangTouZi;2014-01-17;-1000;5.53
600028.SH;ZhongGuoShiHua;2014-01-08;1000;4.39
600028.SH;ZhongGuoShiHua;2014-01-16;-1000;4.72
000006.SZ;ShenZhenYeA;2014-01-03;1000;4.85
000006.SZ;ShenZhenYeA;2014-01-13;1000;4.15
000006.SZ;ShenZhenYeA;2014-01-27;1000;4.6
